length, selection, insertion, merge
10, 45, 15, 21
25, 300, 37, 69
40, 780, 59, 123
55, 1485, 91, 183
70, 2415, 119, 251
85, 3570, 131, 319
100, 4950, 159, 370
115, 6555, 177, 438
130, 8385, 211, 502
145, 10440, 231, 592
160, 12720, 259, 666
175, 15225, 285, 733
190, 17955, 293, 806
205, 20910, 347, 887
220, 24090, 345, 947
235, 27495, 387, 1039
250, 31125, 385, 1081
265, 34980, 417, 1161
280, 39060, 437, 1263
295, 43365, 463, 1356
310, 47895, 485, 1431
325, 52650, 503, 1488
340, 57630, 531, 1609
355, 62835, 557, 1673
370, 68265, 595, 1751
385, 73920, 617, 1809
400, 79800, 613, 1911
415, 85905, 647, 1994
430, 92235, 695, 2084
445, 98790, 697, 2150
460, 105570, 723, 2237
475, 112575, 775, 2328
490, 119805, 739, 2356
505, 127260, 801, 2431
520, 134940, 835, 2512
535, 142845, 843, 2638
550, 150975, 871, 2746
565, 159330, 875, 2841
580, 167910, 913, 2925
595, 176715, 957, 3028
610, 185745, 943, 3122
625, 195000, 981, 3207
640, 204480, 1029, 3272
655, 214185, 1023, 3379
670, 224115, 1075, 3498
685, 234270, 1083, 3580
700, 244650, 1085, 3647
715, 255255, 1137, 3740
730, 266085, 1145, 3821
745, 277140, 1201, 3916
760, 288420, 1177, 3942
775, 299925, 1229, 4062
790, 311655, 1201, 4158
805, 323610, 1261, 4256
820, 335790, 1261, 4336
835, 348195, 1309, 4441
850, 360825, 1311, 4520
865, 373680, 1323, 4606
880, 386760, 1387, 4680
895, 400065, 1413, 4774
910, 413595, 1443, 4859
925, 427350, 1459, 4962
940, 441330, 1503, 5043
955, 455535, 1495, 5112
970, 469965, 1545, 5191
985, 484620, 1549, 5264
1000, 499500, 1595, 5345
1015, 514605, 1619, 5394
1030, 529935, 1583, 5450
1045, 545490, 1631, 5578
1060, 561270, 1651, 5706
1075, 577275, 1689, 5845
1090, 593505, 1691, 5924
1105, 609960, 1733, 6052
1120, 626640, 1787, 6182
1135, 643545, 1789, 6306
1150, 660675, 1801, 6346
1165, 678030, 1857, 6484
1180, 695610, 1843, 6592
1195, 713415, 1889, 6684
1210, 731445, 1891, 6776
1225, 749700, 1949, 6888
1240, 768180, 1985, 6987
