length, selection, insertion, merge
10, 45, 30, 25
25, 300, 152, 86
40, 780, 425, 169
55, 1485, 765, 253
70, 2415, 1180, 344
85, 3570, 1864, 431
100, 4950, 2348, 541
115, 6555, 3571, 646
130, 8385, 4723, 745
145, 10440, 6098, 850
160, 12720, 6193, 968
175, 15225, 7131, 1082
190, 17955, 8271, 1203
205, 20910, 10886, 1316
220, 24090, 12607, 1442
235, 27495, 13048, 1554
250, 31125, 14656, 1666
265, 34980, 16717, 1802
280, 39060, 21298, 1924
295, 43365, 22358, 2055
310, 47895, 23280, 2176
325, 52650, 27010, 2316
340, 57630, 28030, 2439
355, 62835, 29401, 2569
370, 68265, 33357, 2692
385, 73920, 39959, 2822
400, 79800, 40306, 2975
415, 85905, 44503, 3070
430, 92235, 48277, 3233
445, 98790, 52494, 3370
460, 105570, 51905, 3481
475, 112575, 54952, 3622
490, 119805, 61547, 3747
505, 127260, 62047, 3867
520, 134940, 72483, 4025
535, 142845, 73438, 4189
550, 150975, 75685, 4336
565, 159330, 75627, 4475
580, 167910, 84289, 4633
595, 176715, 89006, 4728
610, 185745, 96737, 4888
625, 195000, 97545, 5023
640, 204480, 102941, 5135
655, 214185, 112121, 5325
670, 224115, 117216, 5449
685, 234270, 113942, 5637
700, 244650, 121404, 5748
715, 255255, 130053, 5881
730, 266085, 132628, 6017
745, 277140, 140508, 6187
760, 288420, 149282, 6314
775, 299925, 147353, 6467
790, 311655, 160037, 6640
805, 323610, 167240, 6778
820, 335790, 171822, 6922
835, 348195, 178670, 7072
850, 360825, 181860, 7202
865, 373680, 189755, 7394
880, 386760, 196493, 7536
895, 400065, 202002, 7660
910, 413595, 209618, 7811
925, 427350, 222608, 7923
940, 441330, 227755, 8093
955, 455535, 231220, 8265
970, 469965, 231946, 8418
985, 484620, 241417, 8559
1000, 499500, 255613, 8708
1015, 514605, 251983, 8859
1030, 529935, 272073, 9005
1045, 545490, 274930, 9150
1060, 561270, 281736, 9329
1075, 577275, 287084, 9470
1090, 593505, 296529, 9599
1105, 609960, 312717, 9798
1120, 626640, 315248, 9942
1135, 643545, 327650, 10126
1150, 660675, 332547, 10237
1165, 678030, 335588, 10435
1180, 695610, 346375, 10558
1195, 713415, 364669, 10714
1210, 731445, 382648, 10845
1225, 749700, 383500, 11043
1240, 768180, 392174, 11203
